ID_TERRITORIO,CODIGO,ID_NIVEL_TERRITORIAL,DESCRIPCION,ID_TERRITORIO_PADRE,PATH_DESCRIPCION,PATH_ID,PATH_CODIGO,NOMECLATURA,PATH_NOMECLATURA
1023,58,5,NULTI,200,"ECUADOR AZUAY CUENCA NULTI","1,2,200,1023","593 01 01 58",NUL,"EC AZU CUE NUL"
1024,59,5,"OCTAVIO CORDERO PALACIOS (SANTA ROSA) ",200,"ECUADOR AZUAY CUENCA OCTAVIO CORDERO PALACIOS (SANTA ROSA) ","1,2,200,1024","593 01 01 59",OCT,"EC AZU CUE OCT"
1025,60,5,PACCHA,200,"ECUADOR AZUAY CUENCA PACCHA","1,2,200,1025","593 01 01 60",PAC,"EC AZU CUE PAC"
1026,61,5,QUINGEO,200,"ECUADOR AZUAY CUENCA QUINGEO","1,2,200,1026","593 01 01 61",QUI,"EC AZU CUE QUI"
1027,62,5,RICAURTE,200,"ECUADOR AZUAY CUENCA RICAURTE","1,2,200,1027","593 01 01 62",RIC,"EC AZU CUE RIC"
1028,63,5,"SAN JOAQUÍN",200,"ECUADOR AZUAY CUENCA SAN JOAQUÍN","1,2,200,1028","593 01 01 63",SAN,"EC AZU CUE SAN"
1029,64,5,"SANTA ANA",200,"ECUADOR AZUAY CUENCA SANTA ANA","1,2,200,1029","593 01 01 64",SAN,"EC AZU CUE SAN"
1030,65,5,SAYAUSÍ,200,"ECUADOR AZUAY CUENCA SAYAUSÍ","1,2,200,1030","593 01 01 65",SAY,"EC AZU CUE SAY"
1031,66,5,SIDCAY,200,"ECUADOR AZUAY CUENCA SIDCAY","1,2,200,1031","593 01 01 66",SID,"EC AZU CUE SID"
1032,67,5,SININCAY,200,"ECUADOR AZUAY CUENCA SININCAY","1,2,200,1032","593 01 01 67",SIN,"EC AZU CUE SIN"
1033,68,5,TARQUI,200,"ECUADOR AZUAY CUENCA TARQUI","1,2,200,1033","593 01 01 68",TAR,"EC AZU CUE TAR"
1034,69,5,TURI,200,"ECUADOR AZUAY CUENCA TURI","1,2,200,1034","593 01 01 69",TUR,"EC AZU CUE TUR"
1035,70,5,VALLE,200,"ECUADOR AZUAY CUENCA VALLE","1,2,200,1035","593 01 01 70",VAL,"EC AZU CUE VAL"
